Category,Jersey,Player_Name,Attempts,Returns,Yards,YPA,TDs
Field_Goals,S96,Ryan Eckley,1,,,,
Field_Goals,S29,Martin Connington,9,,,,
Kickoffs,S96,Ryan Eckley,17,,,,
Kickoffs,S29,Martin Connington,21,,,,
Kickoffs,S86,Blake Sislo,1,,,,
Punting,S96,Ryan Eckley,28,,,,
Punting,02,Aidan Chiles,1,,,,
Kick_Returns,00,Alante Brown,3,3,122,40.7,0
Kick_Returns,D35,Sam Edwards,1,1,2,2.0,0
Kick_Returns,D10,Wayne Matthews III,1,1,0,0.0,0
Kick_Returns,04,Elijah Tau-Tolliver,2,2,25,12.5,0
Punt_Returns,01,Omari Kelly,6,6,118,19.7,0
Kick_Returns,13,Chrishon McCray,2,2,30,15.0,0
