Category,Jersey,Player_Name,Attempts,Returns,Yards,YPA,TD
Punting,S45,Luke Dunne,5,,,,,
Kickoffs,S37,Ethan Moczulski,24,,,,,
Kickoffs,S95,Grady Gross,7,,,,,
Field_Goals,S95,Grady Gross,4,,,,,
Kick_Returns,12,Denzel Boston,,3,0,0.0,0
Kick_Returns,24,Adam Mohammed,,6,158,26.3,0
Kick_Returns,D02,Rahshawn Clark,,1,0,0.0,0
Kick_Returns,81,Dezmen Roebuck,,1,10,10.0,0
Kick_Returns,01,Jonah Coleman,,1,26,26.0,0
Kick_Returns,86,Decker DeGraaf,,1,10,10.0,0
Kick_Returns,D10,Xe'ree Alexander,,1,18,18.0,0
Punt_Returns,12,Denzel Boston,,3,89,29.7,1
Punt_Returns,D02,Rahshawn Clark,,1,17,17.0,0
